datetime(kst),location,state1,state2,count
2020-02-27 16:00:00,전북,검사현황,검사중,311
2020-02-27 16:00:00,전북,검사현황,결과음성,743
2020-02-27 16:00:00,전남,확진,격리중,0
2020-02-27 16:00:00,전남,확진,격리해제,1
2020-02-27 16:00:00,전남,확진,사망,0
2020-02-27 16:00:00,전남,검사현황,검사중,635
2020-02-27 16:00:00,전남,검사현황,결과음성,1089
2020-02-27 16:00:00,경북,확진,격리중,337
2020-02-27 16:00:00,경북,확진,격리해제,0
2020-02-27 16:00:00,경북,확진,사망,8
2020-02-27 16:00:00,경북,검사현황,검사중,3377
2020-02-27 16:00:00,경북,검사현황,결과음성,2127
2020-02-27 16:00:00,경남,확진,격리중,43
2020-02-27 16:00:00,경남,확진,격리해제,0
2020-02-27 16:00:00,경남,확진,사망,0
2020-02-27 16:00:00,경남,검사현황,검사중,1258
2020-02-27 16:00:00,경남,검사현황,결과음성,1909
2020-02-27 16:00:00,제주,확진,격리중,2
2020-02-27 16:00:00,제주,확진,격리해제,0
2020-02-27 16:00:00,제주,확진,사망,0
2020-02-27 16:00:00,제주,검사현황,검사중,161
2020-02-27 16:00:00,제주,검사현황,결과음성,550
2020-02-27 16:00:00,검역,확진,격리중,0
2020-02-27 16:00:00,검역,확진,격리해제,0
2020-02-27 16:00:00,검역,확진,사망,0
2020-02-27 16:00:00,검역,검사현황,검사중,0
2020-02-27 16:00:00,검역,검사현황,결과음성,512
2020-02-28 16:00:00,서울,확진,격리중,53
2020-02-28 16:00:00,서울,확진,격리해제,9
2020-02-28 16:00:00,서울,확진,사망,0
2020-02-28 16:00:00,서울,검사현황,검사중,5269
2020-02-28 16:00:00,서울,검사현황,결과음성,10091
2020-02-28 16:00:00,부산,확진,격리중,65
2020-02-28 16:00:00,부산,확진,격리해제,0
2020-02-28 16:00:00,부산,확진,사망,0
2020-02-28 16:00:00,부산,검사현황,검사중,2564
2020-02-28 16:00:00,부산,검사현황,결과음성,3074
2020-02-28 16:00:00,대구,확진,격리중,1571
2020-02-28 16:00:00,대구,확진,격리해제,4
2020-02-28 16:00:00,대구,확진,사망,4
2020-02-28 16:00:00,대구,검사현황,검사중,5255
2020-02-28 16:00:00,대구,검사현황,결과음성,3196
2020-02-28 16:00:00,인천,확진,격리중,3
2020-02-28 16:00:00,인천,확진,격리해제,1
2020-02-28 16:00:00,인천,확진,사망,0
2020-02-28 16:00:00,인천,검사현황,검사중,750
2020-02-28 16:00:00,인천,검사현황,결과음성,3156
2020-02-28 16:00:00,광주,확진,격리중,7
2020-02-28 16:00:00,광주,확진,격리해제,2
2020-02-28 16:00:00,광주,확진,사망,0
2020-02-28 16:00:00,광주,검사현황,검사중,553
2020-02-28 16:00:00,광주,검사현황,결과음성,673
2020-02-28 16:00:00,대전,확진,격리중,14
2020-02-28 16:00:00,대전,확진,격리해제,0
2020-02-28 16:00:00,대전,확진,사망,0
2020-02-28 16:00:00,대전,검사현황,검사중,986
2020-02-28 16:00:00,대전,검사현황,결과음성,1480
2020-02-28 16:00:00,울산,확진,격리중,14
2020-02-28 16:00:00,울산,확진,격리해제,0
2020-02-28 16:00:00,울산,확진,사망,0
2020-02-28 16:00:00,울산,검사현황,검사중,450
2020-02-28 16:00:00,울산,검사현황,결과음성,1308
2020-02-28 16:00:00,세종,확진,격리중,1
2020-02-28 16:00:00,세종,확진,격리해제,0
2020-02-28 16:00:00,세종,확진,사망,0
2020-02-28 16:00:00,세종,검사현황,검사중,268
2020-02-28 16:00:00,세종,검사현황,결과음성,60
2020-02-28 16:00:00,경기,확진,격리중,62
2020-02-28 16:00:00,경기,확진,격리해제,9
2020-02-28 16:00:00,경기,확진,사망,1
2020-02-28 16:00:00,경기,검사현황,검사중,4994
2020-02-28 16:00:00,경기,검사현황,결과음성,11471
